#,PR,URL,Title,Content type,Is rendered page,HTTP status code,Organic traffic,Is valid X (Twitter) card,X (Twitter) card attributes,X (Twitter) card values,Depth,Is indexable page,No. of all inlinks
100,20,https://gamedravo.com/games/gamepix-boing-bang,GameDravo | Lightweight Futuristic Browser Games,text/html,FALSE,200,0,,,,0,TRUE,0
101,20,https://gamedravo.com/games/gamepix-italian-brainrot-extreme-driver,GameDravo | Lightweight Futuristic Browser Games,text/html,FALSE,200,0,,,,0,TRUE,0
102,20,https://gamedravo.com/games/gamepix-going-right,GameDravo | Lightweight Futuristic Browser Games,text/html,FALSE,200,0,,,,0,TRUE,0
103,20,https://gamedravo.com/games/cooking-hut,GameDravo | Lightweight Futuristic Browser Games,text/html,FALSE,200,0,,,,0,TRUE,0
104,20,https://gamedravo.com/games/gamepix-roller-ski-queen-1,GameDravo | Lightweight Futuristic Browser Games,text/html,FALSE,200,0,,,,0,TRUE,0
105,20,https://gamedravo.com/games/gamepix-crazy-plane-shooter,GameDravo | Lightweight Futuristic Browser Games,text/html,FALSE,200,0,,,,0,TRUE,0
106,20,https://gamedravo.com/games/fashion-sticker-studio,GameDravo | Lightweight Futuristic Browser Games,text/html,FALSE,200,0,,,,0,TRUE,0
107,20,https://gamedravo.com/games/gamepix-the-dwarf-planet,GameDravo | Lightweight Futuristic Browser Games,text/html,FALSE,200,0,,,,0,TRUE,0
108,20,https://gamedravo.com/games/gamepix-heads-up-skibidi,GameDravo | Lightweight Futuristic Browser Games,text/html,FALSE,200,0,,,,0,TRUE,0
109,20,https://gamedravo.com/games/stack-fire-ball,GameDravo | Lightweight Futuristic Browser Games,text/html,FALSE,200,0,,,,0,TRUE,0
110,20,https://gamedravo.com/games/gamepix-faily-skater,GameDravo | Lightweight Futuristic Browser Games,text/html,FALSE,200,0,,,,0,TRUE,0
111,20,https://gamedravo.com/games/crazy-parking-fury,GameDravo | Lightweight Futuristic Browser Games,text/html,FALSE,200,0,,,,0,TRUE,0
112,20,https://gamedravo.com/games/gamepix-tiny-tomb,GameDravo | Lightweight Futuristic Browser Games,text/html,FALSE,200,0,,,,0,TRUE,0
113,20,https://gamedravo.com/games/gamepix-stacky-dash-nail,GameDravo | Lightweight Futuristic Browser Games,text/html,FALSE,200,0,,,,0,TRUE,0
114,20,https://gamedravo.com/games/gamepix-flappyball,GameDravo | Lightweight Futuristic Browser Games,text/html,FALSE,200,0,,,,0,TRUE,0
115,20,http://gamedravo.com/about,GameDravo | Lightweight Futuristic Browser Games,text/html,FALSE,200,0,,,,1,TRUE,18
116,20,https://gamedravo.com/games/gamepix-cut-the-rope-experiments,GameDravo | Lightweight Futuristic Browser Games,text/html,FALSE,200,0,,,,0,TRUE,0
117,20,https://gamedravo.com/games/gamepix-dungeon-master-cult-craft,GameDravo | Lightweight Futuristic Browser Games,text/html,FALSE,200,0,,,,0,TRUE,0
118,20,https://gamedravo.com/games/gamepix-twining-color-switch-game,GameDravo | Lightweight Futuristic Browser Games,text/html,FALSE,200,0,,,,0,TRUE,0
119,20,https://gamedravo.com/games/gamepix-football-panda,GameDravo | Lightweight Futuristic Browser Games,text/html,FALSE,200,0,,,,0,TRUE,0
120,20,https://gamedravo.com/games/gamepix-block-breaker-game,GameDravo | Lightweight Futuristic Browser Games,text/html,FALSE,200,0,,,,0,TRUE,0
121,20,https://gamedravo.com/games/gamepix-sprunki-stunt-driving-simulator,GameDravo | Lightweight Futuristic Browser Games,text/html,FALSE,200,0,,,,0,TRUE,0
122,20,https://gamedravo.com/games/gamepix-worms-zone,GameDravo | Lightweight Futuristic Browser Games,text/html,FALSE,200,0,,,,0,TRUE,0
123,20,https://gamedravo.com/games/gamepix-angry-sharks,GameDravo | Lightweight Futuristic Browser Games,text/html,FALSE,200,0,,,,0,TRUE,0
124,20,https://gamedravo.com/games/gamepix-red-and-blue-stickman-huggy,GameDravo | Lightweight Futuristic Browser Games,text/html,FALSE,200,0,,,,0,TRUE,0
125,20,https://gamedravo.com/games/gamepix-magikmon,GameDravo | Lightweight Futuristic Browser Games,text/html,FALSE,200,0,,,,0,TRUE,0
126,20,https://gamedravo.com/games/gamepix-the-lost-joystick,GameDravo | Lightweight Futuristic Browser Games,text/html,FALSE,200,0,,,,0,TRUE,0
127,20,https://gamedravo.com/games/gamepix-angry-gran,GameDravo | Lightweight Futuristic Browser Games,text/html,FALSE,200,0,,,,0,TRUE,0
128,20,https://gamedravo.com/games/gamepix-memorybot,GameDravo | Lightweight Futuristic Browser Games,text/html,FALSE,200,0,,,,0,TRUE,0
129,20,https://gamedravo.com/category/girls-games,GameDravo | Lightweight Futuristic Browser Games,text/html,FALSE,200,0,,,,0,TRUE,0
130,20,https://gamedravo.com/games/american-touchdown,GameDravo | Lightweight Futuristic Browser Games,text/html,FALSE,200,0,,,,0,TRUE,0
131,20,http://gamedravo.com/category/mobile-games,GameDravo | Lightweight Futuristic Browser Games,text/html,FALSE,200,0,,,,1,TRUE,18
132,20,https://gamedravo.com/games/mkd-farm-simulator-evo,GameDravo | Lightweight Futuristic Browser Games,text/html,FALSE,200,0,,,,0,TRUE,0
133,20,https://gamedravo.com/games/gamepix-stickman-fighting,GameDravo | Lightweight Futuristic Browser Games,text/html,FALSE,200,0,,,,0,TRUE,0
134,20,https://gamedravo.com/games/gamepix-the-black-and-white,GameDravo | Lightweight Futuristic Browser Games,text/html,FALSE,200,0,,,,0,TRUE,0
135,20,https://gamedravo.com/games/gamepix-baby-hazel-at-beach,GameDravo | Lightweight Futuristic Browser Games,text/html,FALSE,200,0,,,,0,TRUE,0
136,20,https://gamedravo.com/games/gamepix-stunt-rider,GameDravo | Lightweight Futuristic Browser Games,text/html,FALSE,200,0,,,,0,TRUE,0
137,20,https://gamedravo.com/games/gamepix-santa-gift-matching,GameDravo | Lightweight Futuristic Browser Games,text/html,FALSE,200,0,,,,0,TRUE,0
